"Carimbo de data/hora","Título","Que nota daria para o filme?","Categoria","Comentário"
"2022/08/17 1:01:28 AM GMT-3","The Sea Beast","5","Comédia;Ação;Animação;Drama","Uma visão muito interessante sobre revisionismo histórico em forma de animação. Excelente filme"
"2022/08/17 10:39:52 AM GMT-3","Top gun ","5","Ação",""
"2022/08/17 10:40:21 AM GMT-3","até o ultimo homem","5","Ação;Drama",""
"2022/08/17 10:40:27 AM GMT-3","Arremessando alto ","5","Drama",""
"2022/08/17 10:40:38 AM GMT-3","Que Horas Ela Volta?","5","Drama",""
"2022/08/17 10:40:39 AM GMT-3","simplesmente acontece ","5","Romance","filme muito envolvente e cheio de emoções "
"2022/08/17 10:40:39 AM GMT-3","Cidade de Deus","5","Comédia;Ação","Melhor filme nacional ja feito"
"2022/08/17 10:40:53 AM GMT-3","Insterestelar","5","Ação;Drama","O melhor filme de todos os tempos! Com o buraco negro mais realista já produzido antes da maravilhosa foto do buraco negro. "
"2022/08/17 10:41:08 AM GMT-3","Neymar: Caos perfeito","4","Drama","Qual a linguagem de programação do Neymar? Pai tá on :)"
"2022/08/17 10:41:23 AM GMT-3","Batman ","4","Ação",""
"2022/08/17 10:41:42 AM GMT-3","Bastardos inglórios ","5","Ação","Bom filme "
"2022/08/17 10:41:44 AM GMT-3","Rambo","5","Ação","Vale a pena ver de novo."
"2022/08/17 10:41:48 AM GMT-3","Vingadores: Ultimato","5","Ação","melhro filme recente"
"2022/08/17 10:41:48 AM GMT-3","12 Anos de Escravidão ","5","Drama",""
"2022/08/17 10:41:58 AM GMT-3","Top gun","5","Ação","Filme com muita ação, muito bom. Recomendo. "
"2022/08/17 10:41:59 AM GMT-3","Gone girl ","5","Drama","Filme é bom. Recomendo. "
"2022/08/17 10:41:59 AM GMT-3","Velozes e furiosos ","5","Ação","Adoro a trama !!!"
"2022/08/17 10:42:08 AM GMT-3","Jogador número 1","4","Ação","Final ruim"
"2022/08/17 10:42:08 AM GMT-3","Diário de uma paixão ","5","Romance;Drama","Ryan gosling e rachel mcadams fazem o casal principal desse drama romantico atemporal. Considerado um dos melhores de sua categoria, todos merecem ver essa obra de arte uma vez."
"2022/08/17 10:43:13 AM GMT-3","Carros 2 ","5","Animação","Muitas pessoas podem pensar que esse filme é ruim, e talvez elas estejam certas. O filme conta com um plot de espiões em um mundo em que todos são carros, e o protagonista, um carro de corrida. "
"2022/08/17 10:44:13 AM GMT-3","Um contra tempo ","5","Ação;Drama","O filme de suspense indaga o espectador com várias reviravoltas durante o filme. O sua história  se baseia em um cara que encontra o corpo da sua “amante” no quarto do hotel."
"2022/08/17 10:44:35 AM GMT-3","Harry potter e a pedra filosofal ","5","Drama",""
"2022/08/18 8:14:03 AM GMT-3","O retorno da múmia","5","Comédia;Romance;Ação;Terror;Drama","Melhor filme do início dos anos 2000."
"2022/08/18 8:14:42 AM GMT-3","Top Gun: Maverick","5","Ação","Filme mais realista já feito por Hollywood, com atores se submetendo à força gravitacional nas filmagens nos caças. Tom Cruise rules! "
"2022/08/18 8:15:25 AM GMT-3","Harry Potter","5","Comédia;Romance;Ação;Terror;Animação;Drama",""
"2022/08/18 8:15:27 AM GMT-3","Harry Potter","5","Romance;Ação;Drama",""
"2022/08/18 8:15:27 AM GMT-3","TOP GUN 2 ","5","Ação",""
"2022/08/18 8:15:50 AM GMT-3","Ta dando onda","5","Comédia;Animação","bom à beça"
"2022/08/18 8:19:51 AM GMT-3","Questão de Tempo","5","Comédia;Romance;Drama",""
"2022/08/18 8:21:30 AM GMT-3","In Time","4","Ação;Drama",""
"2022/08/18 8:21:32 AM GMT-3","GOL","5","Romance;Ação;Drama",""
"2022/08/18 8:21:37 AM GMT-3","rocky 4","5","Ação",""
"2022/08/18 8:21:51 AM GMT-3","Duna","3","Ação;Drama",""
"2022/08/18 8:22:03 AM GMT-3","harry potter","5","Comédia;Ação;Drama",""
"2022/08/18 8:22:17 AM GMT-3","Os Infiltrados ","5","Ação","É um bom filme, digno de uma obra de Martin Scorsese, com traços de suspense, até o fim do longa. "
"2022/08/18 8:22:32 AM GMT-3","Thor 4","1","Comédia;Ação;Drama",""
"2022/08/18 8:22:39 AM GMT-3","VINGADORES","1","Ação",""
"2022/08/18 8:22:56 AM GMT-3","HOMEM DE FERRO","5","Comédia;Ação",""
"2022/08/18 8:23:08 AM GMT-3","efeito borboleta","5","Comédia;Romance;Ação;Drama","muito bom"
"2022/08/18 8:23:55 AM GMT-3","jurasic park","5","Ação",""
"2022/08/18 8:23:56 AM GMT-3","Thor 2","2","Ação","chato
"
"2022/08/18 8:24:32 AM GMT-3","a fuga das galinhas ","1","Comédia;Animação","Chato à beça"
"2022/08/18 8:24:54 AM GMT-3","Velozes e Furiosos 1","4","Ação",""
"2022/08/18 8:25:21 AM GMT-3","Toy Story 3 ","5","Animação","O final é bom"
"2022/08/18 8:26:01 AM GMT-3","Jackass","5","Comédia","Muito engraçado"
"2022/08/18 8:26:07 AM GMT-3","poderoso cheinho","4","Comédia;Animação","podia ser melhor"
"2022/08/18 8:26:42 AM GMT-3","Vingadores: Ultimato","5","Ação","Melhor filme do cinema"
"2022/08/18 8:27:42 AM GMT-3","Homem Aranha : Longe de casa","5","Ação",""
"2022/08/18 8:28:00 AM GMT-3","Percy jackson ","5","Ação","bom demais"
"2022/08/18 8:28:31 AM GMT-3","As vantagens de ser invisível","5","Romance;Drama",""
"2022/08/18 8:29:12 AM GMT-3","A vizinha","5","Comédia;Romance","muito engraçado "
"2022/08/18 8:29:21 AM GMT-3","300","3","Ação","As lutas são boas, mas a história é mais ou menos."
"2022/08/18 8:29:47 AM GMT-3","oh Ramonna","4","Comédia;Romance","o final irrita"
"2022/08/18 8:30:24 AM GMT-3","Django livre","5","Ação;Drama",""
"2022/08/18 8:31:02 AM GMT-3","Annabellle","2","Terror",""
"2022/08/18 8:31:22 AM GMT-3","eu sou a lenda","1","Ação","nunca assisti, portanto nao gostei"
"2022/08/18 8:31:25 AM GMT-3","Sexta-feira13","4","Terror",""
"2022/08/18 8:31:51 AM GMT-3","12 anos de escravidão","5","Drama",""
"2022/08/18 8:32:50 AM GMT-3","Rei Leão","5","Animação",""
"2022/08/18 8:33:29 AM GMT-3","A babá","3","Terror","Chato"
"2022/08/18 8:34:10 AM GMT-3","o hóspede indesejado ","5","Ação;Terror",""
"2022/08/18 8:36:59 AM GMT-3","The purge","1","Terror","chato demais
"
